Price,Details,Address,features,Area,Bedrooms,House_type
15700,2 BHK Independent House,"Jal Vayu Vihar, Kukatpally, Hyderabad",Fully Furnished,1100.0,2,Independent
9500,1 BHK Apartment,"Tulasi Nagar, Madhapur, Hyderabad",Unfurnished,600.0,1,Apartment
14000,1 BHK Apartment,"Jubliee Annex, Chanda Naik Nagar, Madhapur, Hyderabad",Semi Furnished,650.0,1,Apartment
25000,3 BHK Apartment,"Vasantha Nagar, Hyder Nagar, Hyderabad",Semi Furnished,1600.0,3,Apartment
19000,1 BHK Apartment,"Jubliee Annex, Chanda Naik Nagar, Madhapur, Hyderabad",Fully Furnished,800.0,1,Apartment
20000,2 BHK Apartment,"Sai Ganesh theatre, Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,1000.0,2,Apartment
19500,2 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,1150.0,2,Apartment
25000,3 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,1850.0,3,Apartment
7500,1 BHK Independent Floor,"HMT Hills, Kukatpally, Hyderabad",Unfurnished,500.0,1,Independent
13000,1 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,700.0,1,Apartment
19500,2 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,1250.0,2,Apartment
13000,1 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,750.0,1,Apartment
19000,2 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,1100.0,2,Apartment
17000,2 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Unfurnished,1300.0,2,Apartment
36000,3 BHK Apartment,"Mega Hills, Madhapur, Hyderabad",Semi Furnished,1800.0,3,Apartment
21000,2 BHK Apartment,"Raghavendra Colony, Kondapur, Hyderabad",Semi Furnished,1150.0,2,Apartment
9000,1 BHK Apartment,"Sai Nagar, Hafeezpet, Hyderabad",Unfurnished,550.0,1,Apartment
14000,1 BHK Apartment,"Ayyappa society, Tulasi Nagar, Madhapur, Hyderabad",Semi Furnished,650.0,1,Apartment
23000,2 BHK Apartment,"Mega Hills, Madhapur, Hyderabad",Semi Furnished,1150.0,2,Apartment
11000,1 BHK Apartment,"Bikshapathi Nagar, Hafeezpet, Hyderabad",Unfurnished,600.0,1,Apartment
32000,3 BHK Apartment,"Bikshapathi Nagar, Kondapur, Hyderabad",Fully Furnished,1750.0,3,Apartment
18000,1 BHK Apartment,"Chanda Naik Nagar, Madhapur, Hyderabad",Semi Furnished,1200.0,1,Apartment
12000,1 BHK Apartment,"Mega Hills, Madhapur, Hyderabad",Unfurnished,500.0,1,Apartment
17500,3 BHK Apartment,"Bhuvana Olive West Apartments, Hafeezpet, Hyderabad",Semi Furnished,1550.0,3,Apartment
10000,1 RK Apartment,"TELANGANA HOUSING BOARD, Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,400.0,1,Apartment
18000,1 RK Independent House,"Bagath Singh Nagar Phase 2, Kukatpally, Hyderabad",Fully Furnished,400.0,1,Independent
12500,2 BHK Independent House,"Mahadevpur Colony, Hyderabad",Unfurnished,900.0,2,Independent
16000,3 BHK Apartment,"Nanda Nagar, Balanagar, Hyderabad",Semi Furnished,1200.0,3,Apartment
19000,2 BHK Apartment,"Silpa Park, Kondapur, Hyderabad",Fully Furnished,700.0,2,Apartment
17500,1 RK Apartment,"Sai Nagar, Hafeezpet, Hyderabad",Fully Furnished,350.0,1,Apartment
65000,3 BHK Independent Floor,"Izzat Nagar, Kothaguda, Hyderabad",Fully Furnished,2000.0,3,Independent
30000,3 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1450.0,3,Independent
18000,2 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1000.0,2,Independent
10000,1 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,450.0,1,Independent
10000,1 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,950.0,1,Independent
14000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1200.0,2,Apartment
10000,1 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,850.0,1,Independent
16000,2 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1100.0,2,Independent
18000,2 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1200.0,2,Independent
18000,2 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1300.0,2,Apartment
7500,1 RK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,210.0,1,Independent
7000,1 BHK Apartment,"HW Justajoo, K P H B Phase 1, Kukatpally, Hyderabad",Fully Furnished,400.0,1,Apartment
11000,1 BHK Independent Floor,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1000.0,1,Independent
11000,1 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,800.0,1,Apartment
13000,2 BHK Apartment,"Bhagya Nagar Colony, Kukatpally, Hyderabad",Semi Furnished,1100.0,2,Apartment
35000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Fully Furnished,1800.0,3,Apartment
18000,2 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Unfurnished,1000.0,2,Independent
7400,1 BHK Independent House,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,600.0,1,Independent
20000,3 BHK Apartment,"Kukatpally Housing Board Colony, Kukatpally, Hyderabad",Semi Furnished,1600.0,3,Apartment
9000,1 BHK Apartment,"K P H B Phase 1, Kukatpally, Hyderabad",Unfurnished,650.0,1,Apartment
30000,4 BHK Apartment,"Kukatpally, Hyderabad",Semi Furnished,3200.0,4,Apartment
20000,3 BHK Apartment,"Sathavahana Nagar, Kukatpally, Hyderabad",Fully Furnished,1500.0,3,Apartment
24000,4 BHK Independent House,"Sathavahana Nagar, Kukatpally, Hyderabad",Unfurnished,1760.0,4,Independent
8000,1 BHK Apartment,"Seven Hills , Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1000.0,1,Apartment
17000,2 BHK Independent House,"JAYBHARATHI GARDENS, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1500.0,2,Independent
22000,3 BHK Apartment,"Rishikalyan Residency, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1600.0,3,Apartment
25000,2 BHK Apartment,"Emami Swanlake by Emami Realty, Sathavahana Nagar, Kukatpally, Hyderabad",Semi Furnished,1151.0,2,Apartment
