Year,Month,District,Mandal,min_temp,max_temp
2013,6,Rangareddy,Abdullapurmet,24.2,33.4
2013,7,Rangareddy,Abdullapurmet,23.0,29.4
2013,8,Rangareddy,Abdullapurmet,22.5,30.0
2013,9,Rangareddy,Abdullapurmet,22.4,32.0
2013,10,Rangareddy,Abdullapurmet,21.5,30.7
2013,11,Rangareddy,Abdullapurmet,16.8,29.9
2013,12,Rangareddy,Abdullapurmet,11.4,29.0
2014,1,Rangareddy,Abdullapurmet,14.9,29.6
2014,2,Rangareddy,Abdullapurmet,15.9,32.0
2014,3,Rangareddy,Abdullapurmet,19.7,34.5
2014,4,Rangareddy,Abdullapurmet,23.4,39.4
2014,5,Rangareddy,Abdullapurmet,24.8,39.7
2014,6,Rangareddy,Abdullapurmet,26.1,37.8
2014,7,Rangareddy,Abdullapurmet,24.1,32.3
2014,8,Rangareddy,Abdullapurmet,23.8,33.8
2014,9,Rangareddy,Abdullapurmet,23.0,32.4
2014,10,Rangareddy,Abdullapurmet,21.0,33.3
2014,11,Rangareddy,Abdullapurmet,16.9,31.7
2014,12,Rangareddy,Abdullapurmet,14.2,29.6
2015,1,Rangareddy,Abdullapurmet,13.5,30.1
2015,2,Rangareddy,Abdullapurmet,15.8,33.8
2015,3,Rangareddy,Abdullapurmet,20.6,35.8
2015,4,Rangareddy,Abdullapurmet,23.3,37.9
2015,5,Rangareddy,Abdullapurmet,27.0,41.4
2015,6,Rangareddy,Abdullapurmet,25.3,35.3
2015,7,Rangareddy,Abdullapurmet,26.3,35.5
2015,8,Rangareddy,Abdullapurmet,25.1,33.7
2015,9,Rangareddy,Abdullapurmet,22.9,33.1
2015,10,Rangareddy,Abdullapurmet,21.7,35.0
2015,11,Rangareddy,Abdullapurmet,20.1,33.5
2015,12,Rangareddy,Abdullapurmet,16.3,33.4
2016,1,Rangareddy,Abdullapurmet,14.9,32.1
2016,2,Rangareddy,Abdullapurmet,20.4,37.1
2016,3,Rangareddy,Abdullapurmet,23.3,39.5
2016,4,Rangareddy,Abdullapurmet,27.1,43.1
2016,5,Rangareddy,Abdullapurmet,26.5,39.9
2016,6,Rangareddy,Abdullapurmet,24.6,34.4
2016,7,Rangareddy,Abdullapurmet,25.1,32.5
2016,8,Rangareddy,Abdullapurmet,25.0,32.7
2016,9,Rangareddy,Abdullapurmet,24.2,30.7
2016,10,Rangareddy,Abdullapurmet,21.4,33.4
2016,11,Rangareddy,Abdullapurmet,17.9,33.6
2016,12,Rangareddy,Abdullapurmet,16.1,31.8
2017,1,Rangareddy,Abdullapurmet,16.9,32.1
2017,2,Rangareddy,Abdullapurmet,17.7,35.3
2017,3,Rangareddy,Abdullapurmet,20.6,38.0
2017,4,Rangareddy,Abdullapurmet,24.1,40.7
2017,5,Rangareddy,Abdullapurmet,26.7,40.6
2017,6,Rangareddy,Abdullapurmet,25.1,34.7
2017,7,Rangareddy,Abdullapurmet,26.3,32.9
2017,8,Rangareddy,Abdullapurmet,26.0,32.3
2017,9,Rangareddy,Abdullapurmet,25.3,33.9
2017,10,Rangareddy,Abdullapurmet,22.8,34.6
2017,11,Rangareddy,Abdullapurmet,19.1,35.1
2017,12,Rangareddy,Abdullapurmet,15.6,33.9
2018,1,Rangareddy,Abdullapurmet,14.4,32.3
2018,2,Rangareddy,Abdullapurmet,16.9,34.0
2018,3,Rangareddy,Abdullapurmet,20.3,35.9
2018,4,Rangareddy,Abdullapurmet,23.6,37.2
2018,5,Rangareddy,Abdullapurmet,26.2,40.5
2018,6,Rangareddy,Abdullapurmet,24.5,34.5
2018,7,Rangareddy,Abdullapurmet,23.7,30.5
2018,8,Rangareddy,Abdullapurmet,23.2,29.5
2018,9,Rangareddy,Abdullapurmet,22.6,31.9
2018,10,Rangareddy,Abdullapurmet,21.3,33.4
2018,11,Rangareddy,Abdullapurmet,18.6,32.3
2018,12,Rangareddy,Abdullapurmet,17.5,29.1
2019,4,Rangareddy,Abdullapurmet,24.4,38.8
2019,5,Rangareddy,Abdullapurmet,28.4,40.6
2019,6,Rangareddy,Abdullapurmet,26.9,37.5
2019,7,Rangareddy,Abdullapurmet,24.7,32.4
2019,8,Rangareddy,Abdullapurmet,24.1,31.0
2019,9,Rangareddy,Abdullapurmet,23.4,30.3
2019,10,Rangareddy,Abdullapurmet,22.2,30.5
2019,11,Rangareddy,Abdullapurmet,19.4,30.3
2019,12,Rangareddy,Abdullapurmet,17.7,28.1
2013,6,Nagarkurnool,Achampet,23.8,33.3
2013,7,Nagarkurnool,Achampet,22.8,28.9
2013,8,Nagarkurnool,Achampet,22.7,29.6
2013,9,Nagarkurnool,Achampet,22.5,31.3
2013,10,Nagarkurnool,Achampet,21.8,29.7
2013,11,Nagarkurnool,Achampet,18.5,29.7
2013,12,Nagarkurnool,Achampet,14.5,28.6
2014,1,Nagarkurnool,Achampet,16.7,29.2
2014,2,Nagarkurnool,Achampet,17.6,32.1
2014,3,Nagarkurnool,Achampet,21.1,35.8
2014,4,Nagarkurnool,Achampet,24.6,40.0
2014,5,Nagarkurnool,Achampet,25.6,38.8
2014,6,Nagarkurnool,Achampet,25.5,35.8
2014,7,Nagarkurnool,Achampet,23.8,31.4
2014,8,Nagarkurnool,Achampet,23.3,32.1
2014,9,Nagarkurnool,Achampet,22.4,30.5
2014,10,Nagarkurnool,Achampet,21.1,32.8
2014,11,Nagarkurnool,Achampet,17.7,30.1
2014,12,Nagarkurnool,Achampet,15.8,29.2
2015,1,Nagarkurnool,Achampet,15.3,30.2
2015,2,Nagarkurnool,Achampet,16.5,33.3
2015,3,Nagarkurnool,Achampet,20.6,36.1
2015,4,Nagarkurnool,Achampet,23.3,37.6
2015,5,Nagarkurnool,Achampet,26.9,40.1
2015,6,Nagarkurnool,Achampet,24.8,34.1
2015,7,Nagarkurnool,Achampet,25.0,34.3
2015,8,Nagarkurnool,Achampet,23.9,32.6
2015,9,Nagarkurnool,Achampet,23.4,32.3
2015,10,Nagarkurnool,Achampet,21.5,32.9
2015,11,Nagarkurnool,Achampet,19.7,30.8
2015,12,Nagarkurnool,Achampet,18.8,32.7
2016,1,Nagarkurnool,Achampet,19.1,32.2
2016,2,Nagarkurnool,Achampet,21.4,36.3
2016,3,Nagarkurnool,Achampet,22.6,38.8
2016,4,Nagarkurnool,Achampet,26.4,42.4
2016,5,Nagarkurnool,Achampet,26.8,38.9
2016,6,Nagarkurnool,Achampet,24.7,32.9
2016,7,Nagarkurnool,Achampet,23.9,31.0
2016,8,Nagarkurnool,Achampet,23.8,31.6
2016,9,Nagarkurnool,Achampet,23.0,28.8
2016,10,Nagarkurnool,Achampet,21.6,32.6
2016,11,Nagarkurnool,Achampet,18.6,32.3
2016,12,Nagarkurnool,Achampet,16.7,29.9
2017,1,Nagarkurnool,Achampet,17.7,30.6
2017,2,Nagarkurnool,Achampet,18.4,33.9
2017,3,Nagarkurnool,Achampet,22.1,36.8
2017,4,Nagarkurnool,Achampet,26.2,39.5
2017,5,Nagarkurnool,Achampet,27.8,39.5
2017,6,Nagarkurnool,Achampet,25.1,34.0
2017,7,Nagarkurnool,Achampet,24.5,32.2
2017,8,Nagarkurnool,Achampet,24.1,31.6
2017,9,Nagarkurnool,Achampet,23.3,32.1
2017,10,Nagarkurnool,Achampet,22.1,32.4
2017,11,Nagarkurnool,Achampet,19.1,32.7
2017,12,Nagarkurnool,Achampet,16.6,31.7
2018,1,Nagarkurnool,Achampet,16.7,32.1
2018,2,Nagarkurnool,Achampet,17.9,34.1
2018,3,Nagarkurnool,Achampet,21.6,36.9
2018,4,Nagarkurnool,Achampet,25.4,38.5
2018,5,Nagarkurnool,Achampet,27.0,39.6
2018,6,Nagarkurnool,Achampet,24.5,34.2
2018,7,Nagarkurnool,Achampet,24.7,31.9
2018,8,Nagarkurnool,Achampet,23.4,30.1
2018,9,Nagarkurnool,Achampet,23.0,32.5
2018,10,Nagarkurnool,Achampet,21.3,34.0
2018,11,Nagarkurnool,Achampet,20.0,33.2
